Index,Real,Imaginary,Magnitude,Phase
0,3371.515026,0.000000,3371.515026,0.000000
1,872.059174,-213.045530,897.705743,-0.239608
2,-419.423853,163.447341,450.145978,2.770001
3,367.295501,743.578271,829.345905,1.111995
4,-913.725725,401.662755,998.112052,2.727431
5,-350.972496,-428.900871,554.200009,-2.256601
6,753.882648,-637.099788,987.033529,-0.701637
7,179.481290,-485.905534,517.993939,-1.216966
8,539.550631,-450.942609,703.181427,-0.696177
9,767.282772,191.864755,790.907666,0.245033
10,-74.772971,637.751870,642.120273,1.687508
11,-378.426693,56.484414,382.618937,2.993425
12,-8.432913,269.058838,269.190959,1.602128
